term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,variable
(Intercept),1.1179439066967602,0.23804173004178544,4.696419852521314,2.9674877226604224e-6,0.00567271840846122,0.6928056545450347,0.570778609386323,0.7854674822733838,Mammals,low,w.marginality
log(low.age + 1),-0.04498993890913183,0.01637412917031355,-2.7476233051036996,0.0060969604514538,0.00567271840846122,0.6928056545450347,0.570778609386323,0.7854674822733838,Mammals,low,w.marginality
(Intercept),1.11394556498678,0.23886058509656255,4.663580492095223,3.47252061505543e-6,0.00521733100926739,0.6945302925168757,0.5729962139560328,0.7866777483636658,Mammals,int,w.marginality
log(int.age + 1),-0.04986865238138262,0.01882049137212768,-2.64969980832891,0.00816710908294071,0.00521733100926739,0.6945302925168757,0.5729962139560328,0.7866777483636658,Mammals,int,w.marginality
(Intercept),1.1164450212629304,0.2393171247306991,4.665128007530818,3.4469731096109513e-6,0.0053184565574029,0.695343397882034,0.5740772196983994,0.7872208286468566,Mammals,high,w.marginality
log(high.age + 1),-0.06489478097462142,0.02428926532355221,-2.6717473793534574,0.00765263361364088,0.0053184565574029,0.695343397882034,0.5740772196983994,0.7872208286468566,Mammals,high,w.marginality
(Intercept),1.8109235211017567,0.4774993648328987,3.792515036612647,1.5690228394005246e-4,0.00630566653879421,0.6485468711864553,0.5335510849621838,0.7421732474833487,Mammals,low,w.specialization
log(low.age + 1),-0.10248136946202964,0.0356043311923865,-2.8783399667943734,0.00407190634091225,0.00630566653879421,0.6485468711864553,0.5335510849621838,0.7421732474833487,Mammals,low,w.specialization
(Intercept),1.808057809082698,0.4781883123902158,3.7810581359572617,1.6420882283085805e-4,0.00626901469657725,0.6494066090062353,0.5345437506003007,0.7428501302725568,Mammals,int,w.specialization
log(int.age + 1),-0.11763607419098952,0.04097492281596468,-2.870928512039956,0.00416789703818332,0.00626901469657725,0.6494066090062353,0.5345437506003007,0.7428501302725568,Mammals,int,w.specialization
(Intercept),1.8236851802416376,0.4780302654180537,3.814999409392547,1.4344474828731357e-4,0.00720142752893948,0.6492404948381653,0.5342492887425273,0.7427662350335605,Mammals,high,w.specialization
log(high.age + 1),-0.16171163375453007,0.05294993934809366,-3.054047572961991,0.00230982249919686,0.00720142752893948,0.6492404948381653,0.5342492887425273,0.7427662350335605,Mammals,high,w.specialization
(Intercept),1.1360013296791591,0.2056849675540589,5.523015819717554,4.1201683842473364e-8,0.00957877313098104,0.6283778567021485,0.5046039812031986,0.7297747253188748,Mammals,low,w.marginality
log(low.age + 1),-0.05576934644644604,0.01603071669880539,-3.478905372371901,5.223511418219751e-4,0.00957877313098104,0.6283778567021485,0.5046039812031986,0.7297747253188748,Mammals,low,w.marginality
(Intercept),1.1304631636679494,0.20614472953848817,5.4838324811835015,5.116746581990128e-8,0.00899743946870814,0.6297296238192204,0.5060786905106659,0.7308734929202748,Mammals,int,w.marginality
log(int.age + 1),-0.06186901388345237,0.01830569233930287,-3.3797691306445548,7.498687691125383e-4,0.00899743946870814,0.6297296238192204,0.5060786905106659,0.7308734929202748,Mammals,int,w.marginality
(Intercept),1.1308099256634774,0.20667471169592255,5.471447940506729,5.4777839153530294e-8,0.00868770735650024,0.6308753495328777,0.5073473432942136,0.7317966526458756,Mammals,high,w.marginality
log(high.age + 1),-0.07776690742246999,0.02338297204652568,-3.3257922589025557,9.095918631736312e-4,0.00868770735650024,0.6308753495328777,0.5073473432942136,0.7317966526458756,Mammals,high,w.marginality
(Intercept),1.789306193860987,0.4621134279881202,3.872006493407904,1.1403731059456136e-4,0.00487919165688514,0.6423105135920641,0.5275323135658878,0.7374909879682818,Mammals,low,w.specialization
log(low.age + 1),-0.09052458632955292,0.03516008209564189,-2.574640926130644,0.01015891745246033,0.00487919165688514,0.6423105135920641,0.5275323135658878,0.7374909879682818,Mammals,low,w.specialization
(Intercept),1.782608533756204,0.4623286124532858,3.8557175258892737,1.218002942635632e-4,0.00476237633798385,0.6428209566095734,0.5282147410748492,0.7378462606990459,Mammals,int,w.specialization
log(int.age + 1),-0.10223913168681122,0.04012195560467218,-2.548209082682538,0.01095724708071488,0.00476237633798385,0.6428209566095734,0.5282147410748492,0.7378462606990459,Mammals,int,w.specialization
(Intercept),1.784446444908138,0.4627918224789702,3.8558296802861616,1.2174517765739525e-4,0.0046968955442434,0.6431911730834998,0.5287737954942507,0.7380733846268586,Mammals,high,w.specialization
log(high.age + 1),-0.12975794626155196,0.05122142456441626,-2.5332748428026997,0.01143257772196904,0.0046968955442434,0.6431911730834998,0.5287737954942507,0.7380733846268586,Mammals,high,w.specialization
(Intercept),1.1086698613701742,0.27825196562498805,3.9844098095766034,7.191460774125247e-5,0.00501384727760736,0.7321018854162997,0.6179090304469776,0.8165902990419552,Mammals,low,w.marginality
log(low.age + 1),-0.04415769930035277,0.01695253583216955,-2.604784307050867,0.00931211264397147,0.00501384727760736,0.7321018854162997,0.6179090304469776,0.8165902990419552,Mammals,low,w.marginality
(Intercept),1.106100835343286,0.27820928066208594,3.975786978460867,7.453402410595444e-5,0.00510875071050552,0.7322351882339748,0.6180636831103697,0.8166792962769608,Mammals,int,w.marginality
log(int.age + 1),-0.05104472504098457,0.01943949325125227,-2.625825909206574,0.00875896353898419,0.00510875071050552,0.7322351882339748,0.6180636831103697,0.8166792962769608,Mammals,int,w.marginality
(Intercept),1.1099801902285846,0.27739261415157457,4.001477089155887,6.698488885792386e-5,0.00583240174074123,0.7310576054601815,0.6165699116603076,0.8158084751357817,Mammals,high,w.marginality
log(high.age + 1),-0.07051053055951802,0.02535287741965268,-2.7811648118828782,0.00550511087842342,0.00583240174074123,0.7310576054601815,0.6165699116603076,0.8158084751357817,Mammals,high,w.marginality
(Intercept),1.759642283947694,0.6271592180763949,2.8057345459177325,0.00510506782787345,0.00156929811345435,0.7446728455994058,0.6446930446188185,0.8191880344843991,Mammals,low,w.specialization
log(low.age + 1),-0.0623502805966941,0.03723227112147101,-1.6746300646897174,0.0942794397819806,0.00156929811345435,0.7446728455994058,0.6446930446188185,0.8191880344843991,Mammals,low,w.specialization
(Intercept),1.7606729608660785,0.6257717583974812,2.813602463260613,0.00498263898732265,0.00187555661935266,0.7439328884960164,0.6436797435400506,0.8186755292695996,Mammals,int,w.specialization
log(int.age + 1),-0.07580806290763273,0.04266437514807501,-1.7768469043441066,0.07585841277736449,0.00187555661935266,0.7439328884960164,0.6436797435400506,0.8186755292695996,Mammals,int,w.specialization
(Intercept),1.768374386704633,0.6238454492724994,2.8346353872851555,0.00466829927391865,0.00233775851917778,0.7426680088828587,0.6419804259648182,0.8177859534800574,Mammals,high,w.specialization
log(high.age + 1),-0.106844864572478,0.05562094774611948,-1.9209464941188863,0.05498610479794896,0.00233775851917778,0.7426680088828587,0.6419804259648182,0.8177859534800574,Mammals,high,w.specialization
(Intercept),1.1331537458144665,0.23566534505088396,4.8083172583979215,1.7243429486502038e-6,0.00544403071072176,0.6837200990603794,0.5584733318233825,0.780134548044883,Mammals,low,w.marginality
log(low.age + 1),-0.04411065140946895,0.01634405350434317,-2.6988807518127156,0.00705951419588157,0.00544403071072176,0.6837200990603794,0.5584733318233825,0.780134548044883,Mammals,low,w.marginality
