term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
log(high.age + 1),-0.031490977044084975,0.011285442489232196,-2.7904069401028386,0.005335401278256491,0.004806938947206104,0.7345886643511917,0.6582482346234508,0.7954326249188378,Amphibians,high,neo_marginality
(Intercept),2.5533011620524575,0.28644608514280145,8.913723365357097,0,-5.142758938307672e-5,0.37327927009660344,0.2543459702697045,0.4978562984756707,Amphibians,low,neo_specialization
log(low.age + 1),-0.02640416295779177,0.02741305276990955,-0.9631967362195718,0.3356146639629576,-5.142758938307672e-5,0.37327927009660344,0.2543459702697045,0.4978562984756707,Amphibians,low,neo_specialization
(Intercept),2.5441777019013463,0.28676390240208227,8.872029152170139,0,-2.2004212796551876e-4,0.37393734594727107,0.2549781090808035,0.4984556650949268,Amphibians,int,neo_specialization
log(int.age + 1),-0.024940905313565284,0.030005567437084952,-0.8312092536113791,0.40599676242222826,-2.2004212796551876e-4,0.37393734594727107,0.2549781090808035,0.4984556650949268,Amphibians,int,neo_specialization
(Intercept),2.536140487882007,0.2876370757518767,8.817154329818553,0,-3.7316338380006294e-4,0.3745276653357205,0.2555485235277066,0.49899294771601715,Amphibians,high,neo_specialization
log(high.age + 1),-0.0233230908108046,0.03380864656146147,-0.6898557967532077,0.49039888256581854,-3.7316338380006294e-4,0.3745276653357205,0.2555485235277066,0.49899294771601715,Amphibians,high,neo_specialization
(Intercept),1.2600264128630685,0.19552514180557634,6.444319135776394,1.5921108875716072e-10,-3.885713416162223e-4,0.7622905212775694,0.6925378805451534,0.8169151311291323,Amphibians,low,neo_marginality
log(low.age + 1),-0.006603090447667894,0.009796942127720665,-0.673995044737919,0.5004254106908841,-3.885713416162223e-4,0.7622905212775694,0.6925378805451534,0.8169151311291323,Amphibians,low,neo_marginality
(Intercept),1.2554834585748147,0.19559532825964576,6.418780395962247,1.874418398273292e-10,-5.301316130689441e-4,0.7625442474543744,0.6928780104559631,0.8170995989067599,Amphibians,int,neo_marginality
log(int.age + 1),-0.005395279906375989,0.010672539386398724,-0.5055291633078283,0.613266571881421,-5.301316130689441e-4,0.7625442474543744,0.6928780104559631,0.8170995989067599,Amphibians,int,neo_marginality
(Intercept),1.2510313978669343,0.1957389199548933,6.391326764014157,2.2325075121898408e-10,-6.36248665202934e-4,0.7627433641905504,0.6931488643845174,0.8172420660377152,Amphibians,high,neo_marginality
log(high.age + 1),-0.0039186607174575465,0.011999953973060373,-0.32655631232043486,0.744052163043841,-6.36248665202934e-4,0.7627433641905504,0.6931488643845174,0.8172420660377152,Amphibians,high,neo_marginality
(Intercept),2.6214743739086126,0.30773817877080795,8.518521765416017,0,0.001242676457213073,0.38360639688216186,0.264301567824501,0.5058632310912347,Amphibians,low,neo_specialization
log(low.age + 1),-0.04726660134393565,0.028512514506231563,-1.6577493133271455,0.09759147007004376,0.001242676457213073,0.38360639688216186,0.264301567824501,0.5058632310912347,Amphibians,low,neo_specialization
(Intercept),2.619308094860016,0.3082239623845706,8.49806768622327,0,0.0011403056732899209,0.3842359143690373,0.2648149721890338,0.5065180913527132,Amphibians,int,neo_specialization
log(int.age + 1),-0.05040860444369902,0.031238318397044215,-1.6136785534674845,0.1068218819568667,0.0011403056732899209,0.3842359143690373,0.2648149721890338,0.5065180913527132,Amphibians,int,neo_specialization
(Intercept),2.6212113951843588,0.3090780683066683,8.480742129472558,0,0.0010895399196966193,0.384860924841829,0.26532682658695567,0.5071708155682789,Amphibians,high,neo_specialization
log(high.age + 1),-0.05618602828143612,0.03530660003083863,-1.5913746504155117,0.11175039920744423,0.0010895399196966193,0.384860924841829,0.26532682658695567,0.5071708155682789,Amphibians,high,neo_specialization
(Intercept),1.288817160593825,0.15850965993876934,8.130843010398747,8.881784197001252e-16,0.002961280758895802,0.7129613196921286,0.6354370931722932,0.7762406673668183,Amphibians,low,neo_marginality
